"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","44.59733","Lethrinidae","Gymnocranius","grandoculis",3,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","14.27600","Lethrinidae","Lethrinus","rubrioperculatus",7,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","40.07933","Lutjanidae","Lutjanus","sebae",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","41.16400","Lutjanidae","Pristipomoides","multidens",13,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","43.25267","Lutjanidae","Pristipomoides","typus",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","7.44067","Scaridae","Scarus","ghobban",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","10.01667","Serranidae","Epinephelus","areolatus",2,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","17.25533","Sparidae","Argyrops","spinifer",4,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","24.87133","Synodontidae","Saurida","undosquamis",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","26.73800","Tetraodontidae","Lagocephalus","lunaris",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
