"campaignid","sample","broad.bryozoa.","broad.bryozoa.bryozoa.cnidaria.matrix.","broad.consolidated.rock.no.biota","broad.consolidated.rock.veneer","broad.crinoids.","broad.hydrocoral.branching.","broad.hydroids.","broad.invertebrate.complex.","broad.invertebrate.complex.complex.1.","broad.octocoral.black.branching.3d.","broad.octocoral.black.fan.2d.","broad.octocoral.black.organ.pipe.coral.","broad.octocoral.black.small.mixed.","broad.octocoral.black.unknown.","broad.octocoral.black.whip.","broad.sponges.crusts.","broad.sponges.erect.forms.","broad.sponges.hollow.forms.","broad.sponges.massive.forms.","broad.sponges.small.mixed.","broad.sponges.unknown.","broad.unconsolidated.pebble.gravel.biogenic.","broad.unconsolidated.pebble.gravel.gravel.2.10mm.","broad.unconsolidated.pebble.gravel.pebble.10.64mm.","broad.unconsolidated.sand.mud.coarse.sand.","broad.unconsolidated.sand.mud.fine.sand.","broad.unconsolidated.unknown.","broad.total.points.annotated"
"2019-08_Ningaloo_stereo-BRUVs","31.04",0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,1,0,27
"2019-08_Ningaloo_stereo-BRUVs","31.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,16,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","31.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,23,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","4.01",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,10,0,20
"2019-08_Ningaloo_stereo-BRUVs","4.02",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,1,0,0,0,0,0,17,0,26
"2019-08_Ningaloo_stereo-BRUVs","4.03",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,2,0,0,0,0,0,13,0,22
"2019-08_Ningaloo_stereo-BRUVs","4.08",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,2,0,0,0,0,0,8,4,0,23
"2019-08_Ningaloo_stereo-BRUVs","4.11",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,12,0,23
"2019-08_Ningaloo_stereo-BRUVs","4.12",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,26
"2019-08_Ningaloo_stereo-BRUVs","5.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23
"2019-08_Ningaloo_stereo-BRUVs","5.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","5.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","5.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","5.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23
"2019-08_Ningaloo_stereo-BRUVs","5.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,22
"2019-08_Ningaloo_stereo-BRUVs","6.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21
"2019-08_Ningaloo_stereo-BRUVs","6.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","6.03",0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,4,0,3,0,0,0,0,0,0,15,0,30
"2019-08_Ningaloo_stereo-BRUVs","6.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,25
"2019-08_Ningaloo_stereo-BRUVs","6.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,25
"2019-08_Ningaloo_stereo-BRUVs","6.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,20
"2019-08_Ningaloo_stereo-BRUVs","7.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
"2019-08_Ningaloo_stereo-BRUVs","7.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,20
"2019-08_Ningaloo_stereo-BRUVs","7.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","7.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,26
"2019-08_Ningaloo_stereo-BRUVs","7.05",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,23
"2019-08_Ningaloo_stereo-BRUVs","7.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","8.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,24,0,0,27
"2019-08_Ningaloo_stereo-BRUVs","8.02",0,0,0,0,0,0,0,0,0,5,8,0,0,0,2,0,7,0,0,0,0,0,0,0,6,0,0,28
"2019-08_Ningaloo_stereo-BRUVs","8.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21
"2019-08_Ningaloo_stereo-BRUVs","8.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,22
"2019-08_Ningaloo_stereo-BRUVs","8.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26
"2019-08_Ningaloo_stereo-BRUVs","8.12",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","9.01",0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,4,0,2,0,0,0,0,0,12,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","9.02",0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,21
"2019-08_Ningaloo_stereo-BRUVs","9.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","9.06",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,5,0,0,0,0,0,6,6,0,23
"2019-08_Ningaloo_stereo-BRUVs","9.07",0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,4,0,1,0,0,0,0,0,10,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","9.08",0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,19,0,24
"2021-05_PtCloates_BOSS","1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57,0,59
"2021-05_PtCloates_BOSS","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62
"2021-05_PtCloates_BOSS","12",0,0,0,0,0,0,1,0,7,1,0,0,0,0,2,0,5,1,10,0,0,0,0,0,0,31,0,58
"2021-05_PtCloates_BOSS","13",0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,38,0,57
"2021-05_PtCloates_BOSS","15",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,52,0,56
"2021-05_PtCloates_BOSS","18",0,0,0,0,0,0,0,0,5,2,10,0,0,0,7,0,0,4,2,0,0,0,0,0,0,24,0,54
"2021-05_PtCloates_BOSS","19",0,0,0,0,0,0,2,0,4,0,0,0,0,0,5,1,5,0,7,0,0,0,0,0,0,28,0,52
"2021-05_PtCloates_BOSS","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,50
"2021-05_PtCloates_BOSS","20",0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,36,0,54
"2021-05_PtCloates_BOSS","21",0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,41,0,55
"2021-05_PtCloates_BOSS","22",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,53,0,58
"2021-05_PtCloates_BOSS","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53
"2021-05_PtCloates_BOSS","25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57
"2021-05_PtCloates_BOSS","26",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,43,0,48
"2021-05_PtCloates_BOSS","27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,59
