"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","31.06","-21.7025167","114.0774833","17082019","15:45:00","Ningaloo Marine Park",NA,"31","66","Charlotte Aston","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","54","-22.7654","113.5392","20220520","8:32:36",NA,NA,NA,"83.1","Molly","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","52","-22.7635","113.5348","20220520","8:50:37",NA,NA,NA,"91","Molly","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","26","-22.7615","113.5484","20220520","9:08:31",NA,NA,NA,"77.2","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","45","-22.7602","113.5432","20220520","9:23:19",NA,NA,NA,"81.8","test video","Yes","No"
"2022-05_PtCloates_stereo-BRUVS","7","-22.7574","113.5382","20220520","9:36:32",NA,NA,NA,"89.3","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","55","-22.7564","113.529","20220520","9:48:49",NA,NA,NA,"89.1","test video","Yes","No"
"2022-05_PtCloates_stereo-BRUVS","56","-22.7534","113.5302","20220520","10:09:08",NA,NA,NA,"99.8","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","31","-22.7542","113.5424","20220520","10:27:48",NA,NA,NA,"82.3","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","40","-22.7522","113.5444","20220520","11:58:07",NA,NA,NA,"84.1","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","60","-22.7516","113.5386","20220520","12:05:02",NA,NA,NA,"91","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","12","-22.7505","113.5476","20220520","12:11:27",NA,NA,NA,"80.5","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","44","-22.7482","113.549","20220520","12:17:32",NA,NA,NA,"79.4","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","37","-22.7475","113.5445","20220520","12:23:05",NA,NA,NA,"81.3","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","6","-22.7459","113.5531","20220520","12:30:12",NA,NA,NA,"74.3","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","59","-22.7437","113.5452","20220520","12:37:35",NA,NA,NA,"83.5","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","24","-22.7426","113.5507","20220520","12:42:58",NA,NA,NA,"79.3","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","16","-22.7406","113.5395","20220520","14:06:11",NA,NA,NA,"93.2","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","62","-22.7375","113.542","20220520","14:11:26",NA,NA,NA,"90.1","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","23","-22.734","113.542","20220520","14:15:28",NA,NA,NA,"91.4","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","49","-22.7309","113.5443","20220520","14:20:55",NA,NA,NA,"89.5","N/A","No","No"
"2022-05_PtCloates_stereo-BRUVS","36","-22.7318","113.5477","20220520","14:25:23",NA,NA,NA,"83.2","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","64","-22.7343","113.5508","20220520","14:30:16",NA,NA,NA,"79.2","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","3","-22.7379","113.5515","20220520","14:34:36",NA,NA,NA,"78.3","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","4","-22.7337","113.5555","20220520","14:40:43",NA,NA,NA,"73.9","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","43","-22.7328","113.5589","20220522","8:03:30",NA,NA,NA,"70.6","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","8","-22.7298","113.5538","20220522","8:12:35",NA,NA,NA,"76.4","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","11","-22.7274","113.5498","20220522","8:18:17",NA,NA,NA,"81","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","10","-22.7272","113.5424","20220522","8:25:30",NA,NA,NA,"94.7","N/A","No","No"
"2022-05_PtCloates_stereo-BRUVS","27","-22.7254","113.5459","20220522","8:31:16",NA,NA,NA,"90.4","Kaitlin","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","32","-22.7239","113.5552","20220522","8:39:35",NA,NA,NA,"78.3","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","20","-22.7212","113.5561","20220522","8:44:53",NA,NA,NA,"76","Henry","Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS","5","-22.7218","113.5506","20220522","8:50:54",NA,NA,NA,"81.9","Kaitlin","Yes","Yes"
