"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",384.75167,3150.32337,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",412.50797,1768.78784,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",476.57136,1491.07931,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",438.88164,1037.84213,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",406.97045,2619.87331,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",338.31223,4216.75883,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",419.99215,1769.96046,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",435.68743,2205.43934,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Mullidae","Parupeneus","spilurus",342.413,3155.0962,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Rachycentridae","Rachycentron","canadum",760.57058,3187.07182,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Serranidae","Epinephelus","areolatus",349.05188,1327.20669,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
